1,143.160.32.200,143.160.32.200,0.962,-26.7167,27.1
2,fw,143.160.64.1,0.449,-26.7167,27.1
3,igs,143.160.4.2,0.867,-26.7167,27.1
4,bb-puk-mc-ipnet.uni.net.za,155.232.207.69,10.622,-33.9833,18.4
5,tnet-0001-telkombell-ce-3.uni.net.za,155.232.210.6,32.362,-33.9833,18.4
6,int-puk-mc-ipnet.uni.net.za,155.232.200.129,32.384,-33.9833,18.4
7,wblv-ip-lir-1-wan.telkom-ipnet.co.za,196.25.251.149,32.387,-29,24
8,hkg-ip-dir-hongkong-pos-2-1.telkom-ipnet.co.za,196.43.9.210,193.426,-29,24
9,ge13-2.br01.hkg04.pccwbtn.net,63.218.115.109,355.002,38.9841,-77.3827
10,202.97.53.178,202.97.53.178,379.709,34.7725,113.7266
11,202.97.53.9,202.97.53.9,376.826,34.7725,113.7266
12,202.97.34.46,202.97.34.46,385.135,34.7725,113.7266
13,202.101.63.233,202.101.63.233,385.767,34.7725,113.7266
14,61.152.87.154,61.152.87.154,388.572,31.0456,121.3997
15,222.72.243.254,222.72.243.254,382.619,31.0456,121.3997
16,*,*,*,,
17,*,*,*,,
18,*,*,*,,
19,*,*,*,,
20,*,*,*,,
