1,143.160.32.200,143.160.32.200,0.926,-26.7167,27.1
2,fw,143.160.64.1,0.399,-26.7167,27.1
3,igs,143.160.4.2,0.904,-26.7167,27.1
4,bb-puk-mc-ipnet.uni.net.za,155.232.207.69,10.592,-33.9833,18.4
5,tnet-0001-telkombell-ce-3.uni.net.za,155.232.210.6,31.607,-33.9833,18.4
6,int-puk-mc-ipnet.uni.net.za,155.232.200.129,32.796,-33.9833,18.4
7,wblv-ip-lir-1-wan.telkom-ipnet.co.za,196.25.251.149,32.000,-29,24
8,ash-ip-dir-equinix-pos-5-0.telkom-ipnet.co.za,196.43.18.126,193.980,-29,24
9,ge13-2.br01.hkg04.pccwbtn.net,63.218.115.109,353.509,38.9841,-77.3827
10,japantelecom.ge5-9.br01.tok01.pccwbtn.net,63.218.147.10,349.482,38.9841,-77.3827
11,143.90.160.185,143.90.160.185,349.004,35.7907,139.3389
12,TYOrk-05P9-0.nw.odn.ad.jp,143.90.149.113,358.923,35.69,139.69
13,TYOrw-10T1-1.nw.odn.ad.jp,143.90.192.66,358.634,35.69,139.69
14,214.211131233.odn.ne.jp,211.131.233.214,495.750,35.69,139.69
15,124.83.128.26,124.83.128.26,360.617,35.69,139.69
16,124.83.128.42,124.83.128.42,362.105,35.69,139.69
17,*,*,*,,
18,124.83.128.42,124.83.128.42,352.011,35.69,139.69
