1,143.160.32.200,143.160.32.200,0.984,-26.7167,27.1
2,fw,143.160.64.1,0.430,-26.7167,27.1
3,igs,143.160.4.2,1.006,-26.7167,27.1
4,bb-puk-mc-ipnet.uni.net.za,155.232.207.69,10.967,-33.9833,18.4
5,tnet-0001-telkombell-ce-3.uni.net.za,155.232.210.6,32.262,-33.9833,18.4
6,int-puk-mc-ipnet.uni.net.za,155.232.200.129,125.241,-33.9833,18.4
7,wblv-ip-lir-1-wan.telkom-ipnet.co.za,196.25.251.149,32.802,-29,24
8,lon-ip-dir-telecity-pos-5-0.telkom-ipnet.co.za,196.43.9.50,190.370,-29,24
9,213.228.228.214,213.228.228.214,321.250,51.4964,-0.1224
10,ge-6-3-0-55.sjc-64cb-1b.ntwk.msn.net,207.46.37.197,320.873,47.6801,-122.1206
11,ge-7-1-0-0.by2-64c-1b.ntwk.msn.net,207.46.33.22,321.880,47.6801,-122.1206
12,ten9-4.by2-76c-1b.ntwk.msn.net,207.46.45.29,321.853,47.6801,-122.1206
13,*,*,*,,
14,*,*,*,,
15,*,*,*,,
16,*,*,*,,
17,*,*,*,,
18,*,*,*,,
19,*,*,*,,
20,*,*,*,,
