1,net84-253-128-001,84.253.128.1,0.444,41.9,12.4833
2,89-97-241-241.ip19.fastwebnet.it,89.97.241.241,0.335,41.8919,12.5113
3,81-208-53-197.ip.fastwebnet.it,81.208.53.197,10.944,41.8919,12.5113
4,89.97.200.65,89.97.200.65,36.344,41.9507,12.075
5,89.97.200.65,89.97.200.65,36.304,41.9507,12.075
6,s0-6-2-0-dcr2.par.cw.net,195.10.54.57,37.000,48.8582,2.3387
7,as0-dcr1.par.cw.net,195.2.10.161,40.021,47,8
8,so-7-0-0-dcr1.fra.cw.net,195.2.9.154,31.250,47,8
9,62.67.33.61,62.67.33.61,28.603,51.4964,-0.1224
10,ae-0-53.bbr1.Frankfurt1.Level3.net,4.68.118.65,28.442,37.751,-97.822
11,as-0-0.bbr1.London1.Level3.net,4.68.128.109,43.484,37.751,-97.822
12,ae-11-53.car1.London1.Level3.net,4.68.116.79,44.732,37.751,-97.822
13,sl-bb21-lon-10-0-0.sprintlink.net,213.206.131.21,44.516,51.4964,-0.1224
14,sl-bb21-tuk-8-0-0.sprintlink.net,144.232.9.209,116.803,37.751,-97.822
15,sl-bb23-pen-13-0.sprintlink.net,144.232.20.138,118.538,37.751,-97.822
16,sl-bb20-pen-14-0.sprintlink.net,144.232.16.25,117.492,37.751,-97.822
17,sl-bb25-pen-8-0.sprintlink.net,144.232.5.174,114.268,37.751,-97.822
18,sl-crs2-stk-0-0-0-2.sprintlink.net,144.232.20.167,188.723,37.751,-97.822
19,sl-bb24-sj-9-0.sprintlink.net,144.232.20.181,185.807,37.751,-97.822
20,sl-bb20-ana-6-0.sprintlink.net,144.232.20.100,203.751,37.751,-97.822
21,sl-gw29-ana-0-0.sprintlink.net,144.232.1.146,203.536,37.751,-97.822
22,sl-china6-1-0.sprintlink.net,160.81.147.166,389.862,37.751,-97.822
23,219.158.3.113,219.158.3.113,494.704,34.7725,113.7266
24,219.158.4.37,219.158.4.37,401.865,34.7725,113.7266
25,202.96.12.26,202.96.12.26,402.755,39.9289,116.3883
26,202.106.193.114,202.106.193.114,398.040,39.9289,116.3883
27,61.148.3.34,61.148.3.34,403.883,39.9289,116.3883
28,202.106.48.18,202.106.48.18,400.257,39.9289,116.3883
29,*,*,*,,
30,*,*,*,,
31,*,*,*,,
32,*,*,*,,
33,*,*,*,,
34,*,*,*,,
35,*,*,*,,
36,*,*,*,,
37,*,*,*,,
38,*,*,*,,
39,*,*,*,,
40,*,*,*,,
41,*,*,*,,
42,*,*,*,,
43,*,*,*,,
44,*,*,*,,
45,*,*,*,,
46,*,*,*,,
47,*,*,*,,
48,*,*,*,,
49,*,*,*,,
50,*,*,*,,
51,*,*,*,,
52,*,*,*,,
53,*,*,*,,
54,*,*,*,,
55,*,*,*,,
56,*,*,*,,
57,*,*,*,,
58,*,*,*,,
59,*,*,*,,
60,*,*,*,,
61,*,*,*,,
62,*,*,*,,
63,*,*,*,,
64,*,*,*,,
